,song_id,title,song_hotness,duration,key,loudness,mode,tempo,artist,artist_hotness
0,SOGSMXL12A81C23D88,Je Sais Que La Terre Est Plate,0.5479529419800353,148.74077,0,-9.636,1,124.059,Raphaël,0.3861516314132549
1,SOMBCOW12AAF3B229F,On Efface,0.47563846801023907,252.99546,1,-11.061,0,80.084,Julie Zenatti,0.43485958934341257
2,SOEYIHF12AB017B5F4,Howells Delight,,78.0273,3,-24.14,1,54.874,The Baltimore Consort,0.0
3,SODJYEC12A8C13D757,Martha Served,,163.63057,7,-5.795,1,77.15,I Hate Sally,0.3345197638116389
4,SOGSOUE12A58A76443,Zip-A-Dee-Doo-Dah (Song of the South),,199.99302,10,-16.477,1,120.382,Orlando Pops Orchestra,0.3116155449734521
5,SOVVDCO12AB0187AF7,Liquid Time (composition by John Goodsall),0.4454545254934259,279.35302,9,-12.474,1,99.024,Brand X,0.3636756770511417
6,SOKSZVC12A8C142004,Misery Path (From the Privilege of Evil),0.3277366831778408,255.03302,9,-4.393,1,175.673,Amorphis,0.5535661720707804
7,SORWTIF12A6D4FAA41,Nuovi Re pt. I I (feat. Tek money - Lady Tambler),,259.3171,1,-5.05,1,87.999,Inoki,0.44013471201542936
8,SOZQSGL12AF72A9145,Halloween,0.7883881833222074,216.842,10,-4.264,1,92.897,Dead Kennedys,0.5392454183492504
9,SOKRHNY12AB01837DB,Parto em terras distantes,,312.99873,4,-13.885,0,86.981,Brigada Victor Jara,0.3581485188029746
10,SOBTEHX12A6D4FBF18,You Eclipsed By Me (Album Version),0.6810920295819312,218.90567,0,-4.707,0,157.715,Atreyu,0.5924394855278091
11,SOXGDVW12AB01864E7,Shovel,0.40148671142756037,580.70159,0,-4.523,1,146.331,Mistress,0.3894988174170211
12,SOKMPKV12A67AE241B,What Drives The Weak,0.6878737149731753,283.48036,0,-4.076,0,84.992,Shadows Fall,0.455558796992588
13,SOMVPGP12AB01881FF,Life Force,0.26695518627553855,229.66812,2,-19.293,1,79.96,Vanessa Daou,0.40358823765010066
14,SOGXENE12AB01854EB,The Dance Of Europe,0.3552855364230894,135.8624,1,-3.312,0,99.959,Dave Brockie Experience,0.33593551225154833
15,SOBHQIJ12A6D4FC7D3,Spoonie Is Back,0.5435242770791181,393.63873,1,-6.619,1,135.503,Spoonie Gee,0.42272137011677613
16,SODENZR12AAF3B13B9,Blood Round Dance Song (World),0.21508031850922793,146.33751,1,-25.651,0,104.989,R. Carlos Nakai,0.37693998444161575
17,SOEKSGJ12A67AE227E,Crawling (Album Version),0.8722290226088538,208.95302,4,-6.052,1,105.095,Linkin Park,0.7911430023895633
18,SOVPBXO12AB0188671,Bennie,,625.78893,0,-7.164,1,89.572,Koffi Olomidé,0.31161748493154134
19,SOAMBCI12AC4685087,Playa del sous-sol,,172.01587,4,-5.704,1,107.986,Alain-François,0.30091842861713314
20,SOQNRHE12A8AE4849A,Fascinating Rhythm (Instrumental) (2007 Digital Remaster),,312.92036,8,-10.703,1,103.532,Billy May & His Orchestra,0.39046557975011453
21,SOZKFHV12A6D4F996F,I'm Not Moving,0.5968407035530287,154.93179,5,-15.433,0,100.042,Phil Collins,0.5783016335967479
22,SOSRIVF12AB017DF0E,Grand Frère,,528.22159,0,-23.178,0,137.658,Philippe Sarde,0.34369744996261
